track,artist,album,liveness,valence,energy,acousticness,speechiness,tempo,danceability,instrumentalness,loudness,album_release_year,duration_ms,key_mode
SIR BAUDELAIRE (feat. DJ Drama),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.844,0.51,0.635,0.314,0.154,127.596,0.467,4.16e-6,-6.115,2023,88624,G major
CORSO,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.122,0.745,0.845,0.169,0.337,97.672,0.703,0,-4.851,2023,146481,A# minor
LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.535,0.487,0.586,0.155,0.212,137.131,0.62,0,-6.612,2023,130979,C# major
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.511,0.852,0.653,0.269,0.0466,142.347,0.493,0,-5.666,2023,121572,C minor
LUMBERJACK,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.527,0.433,0.762,0.122,0.564,170.691,0.386,0,-6.341,2023,138312,A major
HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.482,0.729,0.75,0.601,0.402,173.456,0.371,0,-5.382,2023,155292,G minor
MASSA,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.301,0.46,0.855,0.329,0.438,157.181,0.685,8.9e-5,-6.724,2023,223718,C# minor
RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.219,0.142,0.469,0.565,0.13,115.852,0.665,3.17e-4,-7.778,2023,229564,A# minor
MANIFESTO (feat. Domo Genesis),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.167,0.518,0.866,0.121,0.391,92.463,0.454,0.0067,-5.348,2023,175122,D major
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.55,0.39,0.652,0.333,0.0722,140.223,0.468,3.18e-4,-4.912,2023,588139,C major
MOMMA TALK,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.661,0.498,0.59,0.696,0.247,96.446,0.488,0,-6.319,2023,70926,C major
RISE! (feat. DAISY WORLD),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.195,0.481,0.814,0.044,0.0733,108.07,0.766,1.08e-5,-3.367,2023,203588,D major
BLESSED,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.765,0.741,0.613,0.389,0.123,40.319,0.336,9.99e-5,-7.869,2023,57667,G# major
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.166,0.62,0.571,0.0195,0.366,142.034,0.827,0,-7.949,2023,146419,B major
WILSHIRE,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.182,0.555,0.712,0.0451,0.323,78.958,0.555,5.14e-6,-7.446,2023,515865,C# major
SAFARI,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.338,0.599,0.71,0.0618,0.213,80.453,0.471,1.7e-6,-6.462,2023,177742,C# minor
EVERYTHING MUST GO,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.419,0.287,0.448,0.806,0.0983,93.098,0.377,7.38e-6,-6.263,2023,28428,C# major
STUNTMAN (feat. Vince Staples),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.781,0.43,0.663,0.0568,0.246,95.972,0.731,0,-7.758,2023,199742,C# major
WHAT A DAY,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.163,0.769,0.828,0.529,0.258,88.939,0.484,0,-6.29,2023,216884,A# minor
WHARF TALK (feat. A$AP Rocky),"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.196,0.681,0.744,0.189,0.069,96.445,0.788,5.74e-5,-6.022,2023,204109,B major
DOGTOOTH,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.215,0.802,0.648,0.505,0.324,77.533,0.706,0,-6.348,2023,161041,G# major
HEAVEN TO ME,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.676,0.396,0.932,0.273,0.406,174.849,0.407,0,-5.253,2023,230554,F# major
"BOYFRIEND, GIRLFRIEND (2020 Demo) (feat. YG)","Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.35,0.658,0.847,0.421,0.0605,109.226,0.778,3.63e-4,-3.422,2023,204364,F# minor
SORRY NOT SORRY,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,0.368,0.495,0.797,0.404,0.201,96.237,0.481,0,-4.094,2023,206049,F# minor
SIR BAUDELAIRE (feat. DJ Drama),"Tyler, The Creator",CALL ME IF YOU GET LOST,0.844,0.51,0.635,0.314,0.154,127.596,0.467,4.16e-6,-6.115,2021,88624,G major
CORSO,"Tyler, The Creator",CALL ME IF YOU GET LOST,0.122,0.745,0.845,0.169,0.337,97.672,0.703,0,-4.851,2021,146481,A# minor
LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator",CALL ME IF YOU GET LOST,0.535,0.487,0.586,0.155,0.212,137.131,0.62,0,-6.612,2021,130979,C# major
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",CALL ME IF YOU GET LOST,0.511,0.852,0.653,0.269,0.0466,142.347,0.493,0,-5.666,2021,121572,C minor
LUMBERJACK,"Tyler, The Creator",CALL ME IF YOU GET LOST,0.527,0.433,0.762,0.122,0.564,170.691,0.386,0,-6.341,2021,138312,A major
HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator",CALL ME IF YOU GET LOST,0.482,0.729,0.75,0.601,0.402,173.456,0.371,0,-5.382,2021,155292,G minor
MASSA,"Tyler, The Creator",CALL ME IF YOU GET LOST,0.301,0.46,0.855,0.329,0.438,157.181,0.685,8.9e-5,-6.724,2021,223718,C# minor
RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator",CALL ME IF YOU GET LOST,0.219,0.142,0.469,0.565,0.13,115.852,0.665,3.17e-4,-7.778,2021,229564,A# minor
MANIFESTO (feat. Domo Genesis),"Tyler, The Creator",CALL ME IF YOU GET LOST,0.167,0.518,0.866,0.121,0.391,92.463,0.454,0.0067,-5.348,2021,175122,D major
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",CALL ME IF YOU GET LOST,0.55,0.39,0.652,0.333,0.0722,140.223,0.468,3.18e-4,-4.912,2021,588139,C major
MOMMA TALK,"Tyler, The Creator",CALL ME IF YOU GET LOST,0.661,0.498,0.59,0.696,0.247,96.446,0.488,0,-6.319,2021,70926,C major
RISE! (feat. DAISY WORLD),"Tyler, The Creator",CALL ME IF YOU GET LOST,0.195,0.481,0.814,0.044,0.0733,108.07,0.766,1.08e-5,-3.367,2021,203588,D major
BLESSED,"Tyler, The Creator",CALL ME IF YOU GET LOST,0.765,0.741,0.613,0.389,0.123,40.319,0.336,9.99e-5,-7.869,2021,57667,G# major
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator",CALL ME IF YOU GET LOST,0.166,0.62,0.571,0.0195,0.366,142.034,0.827,0,-7.949,2021,146419,B major
WILSHIRE,"Tyler, The Creator",CALL ME IF YOU GET LOST,0.182,0.555,0.712,0.0451,0.323,78.958,0.555,5.14e-6,-7.446,2021,515865,C# major
SAFARI,"Tyler, The Creator",CALL ME IF YOU GET LOST,0.338,0.599,0.71,0.0618,0.213,80.453,0.471,1.7e-6,-6.462,2021,177742,C# minor
IGOR'S THEME,"Tyler, The Creator",IGOR,0.607,0.0648,0.672,0.00559,0.377,163.1,0.467,0.243,-7.371,2019,200693,A# minor
EARFQUAKE,"Tyler, The Creator",IGOR,0.795,0.413,0.498,0.23,0.0685,79.635,0.554,5.98e-6,-8.866,2019,190066,A major
I THINK,"Tyler, The Creator",IGOR,0.129,0.431,0.579,0.00881,0.0801,121.075,0.826,0,-8.241,2019,212013,G# minor
EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,"Tyler, The Creator",IGOR,0.335,0,0.478,0.927,0,0,0,0,-16.569,2019,14626,B minor
RUNNING OUT OF TIME,"Tyler, The Creator",IGOR,0.129,0.162,0.391,0.296,0.0528,84.281,0.36,4.06e-4,-10.6,2019,177226,F# major
NEW MAGIC WAND,"Tyler, The Creator",IGOR,0.673,0.464,0.73,0.0967,0.107,139.566,0.621,1.31e-4,-5.414,2019,195320,F minor
A BOY IS A GUN*,"Tyler, The Creator",IGOR,0.496,0.505,0.689,0.575,0.178,79.568,0.417,0,-8.302,2019,210253,D minor
PUPPET,"Tyler, The Creator",IGOR,0.588,0.199,0.557,0.00235,0.0478,77.572,0.508,0.0134,-8.967,2019,179013,G# minor
WHAT'S GOOD,"Tyler, The Creator",IGOR,0.11,0.449,0.909,0.0567,0.487,118.227,0.458,4.26e-6,-6.553,2019,205626,C# major
"GONE, GONE / THANK YOU","Tyler, The Creator",IGOR,0.146,0.471,0.492,0.216,0.193,78.848,0.518,0.0012,-8.436,2019,375386,A# minor
I DON'T LOVE YOU ANYMORE,"Tyler, The Creator",IGOR,0.165,0.584,0.522,0.352,0.0932,142.952,0.638,0.0663,-9.814,2019,161200,G# major
ARE WE STILL FRIENDS?,"Tyler, The Creator",IGOR,0.111,0.313,0.497,0.128,0.0371,187.308,0.216,2.39e-6,-8.025,2019,265480,A# major
Foreword (feat. Rex Orange County),"Tyler, The Creator",Flower Boy,0.352,0.113,0.671,0.118,0.0315,94.025,0.734,0.00317,-7.107,2017,194080,C# major
Where This Flower Blooms (feat. Frank Ocean),"Tyler, The Creator",Flower Boy,0.166,0.27,0.429,0.71,0.15,130.09,0.686,3.41e-6,-10.402,2017,194933,G# minor
Sometimes...,"Tyler, The Creator",Flower Boy,0.164,0.36,0.415,0.959,0.0451,72.862,0.552,2.39e-4,-11.996,2017,36160,D# major
See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,0.109,0.62,0.559,0.371,0.0959,78.558,0.558,7.49e-6,-9.222,2017,180386,F# major
Who Dat Boy (feat. A$AP Rocky),"Tyler, The Creator",Flower Boy,0.122,0.144,0.485,0.337,0.331,115.414,0.706,0,-9.671,2017,205093,G# major
Pothole (feat. Jaden Smith),"Tyler, The Creator",Flower Boy,0.28,0.569,0.572,0.51,0.338,89.386,0.543,7.23e-6,-8.974,2017,237000,B major
Garden Shed (feat. Estelle),"Tyler, The Creator",Flower Boy,0.12,0.148,0.456,0.381,0.0579,112.984,0.423,0.016,-8.45,2017,223946,D minor
